X,Y,OBJECTID,CreationDate,Creator,EditDate,Editor,GlobalID,AreaID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME
-11856688.76,4289354.5572,1,2022/09/27 14:58:14+00,NPS_WASO_LANDS,2022/09/27 14:58:14+00,NPS_WASO_LANDS,78dce076-c5d3-48c9-b864-8cfc7fef5da3,435,VALL,Valles Caldera National Preserve,2022/09/13 10:13:39+00,NM,IM,2035517,National Preserve,Lands,Valles Caldera
-10166148.3754,4472947.7436,2,2022/09/27 14:58:15+00,NPS_WASO_LANDS,2022/09/27 14:58:15+00,NPS_WASO_LANDS,587781f4-020e-485b-8648-8f5b9871d8d7,269,OZAR,Ozark National Scenic Riverways,2022/08/26 09:55:50+00,MO,MW,751466,National River,Lands,Ozark
-10398261.129,4453033.5705,3,2022/09/27 14:58:15+00,NPS_WASO_LANDS,2022/09/27 14:58:15+00,NPS_WASO_LANDS,fcc89e59-be62-44dc-856d-9f31c9502f5e,252,WICR,Wilson's Creek National Battlefield,2022/08/26 09:32:14+00,MO,MW,735922,National Battlefield,Lands,Wilson's Creek
-10023388.5508,4575695.9555,4,2022/09/27 14:58:15+00,NPS_WASO_LANDS,2022/09/27 14:58:15+00,NPS_WASO_LANDS,da4abd8d-18ce-4f82-8eb3-7961b98a8489,454,STGE,Ste. Genevieve National Historical Park,2022/07/26 09:03:29+00,MO,MW,need,National Historical Park,Lands,Ste. Geneviève
-10722822.1815,5467611.9136,5,2022/09/27 14:58:15+00,NPS_WASO_LANDS,2022/09/27 14:58:15+00,NPS_WASO_LANDS,088164e3-bb72-4213-97df-710ee9086985,275,PIPE,Pipestone National Monument,2022/08/30 12:32:54+00,MN,MW,649530,National Monument,Lands,Pipestone
-12861784.6485,4177095.9905,6,2022/09/27 14:58:15+00,NPS_WASO_LANDS,2022/09/27 14:58:15+00,NPS_WASO_LANDS,bad60b46-7c8d-4580-9d55-cd19dadd3652,344,MOJA,Mojave National Preserve,2022/09/15 12:38:07+00,CA,PW,1888945,National Preserve,Lands,Mojave
-8653530.5991,4788123.5001,7,2022/09/27 14:58:15+00,NPS_WASO_LANDS,2022/09/27 14:58:15+00,NPS_WASO_LANDS,bc29b10d-1a79-4e33-85a6-285c106bdd40,101,ANTI,Antietam National Battlefield,2022/09/12 12:42:27+00,MD,NC,589057,National Battlefield,Lands,Antietam
-8674318.3825,4809267.2975,8,2022/09/27 14:58:15+00,NPS_WASO_LANDS,2022/09/27 14:58:15+00,NPS_WASO_LANDS,4840714d-b4be-49b7-9b08-bb29f6a89e46,102,CHOH,Chesapeake and Ohio Canal National Historical Park,2022/09/12 12:46:37+00,DC,NC,583731,National Historical Park,Lands,Chesapeake and Ohio Canal
-8578643.2301,4680231.286,9,2022/09/27 14:58:15+00,NPS_WASO_LANDS,2022/09/27 14:58:15+00,NPS_WASO_LANDS,84982937-1a3a-4f00-b24d-37390d1c0fb8,107,GWMP,George Washington Memorial Parkway,2022/09/12 13:07:25+00,MD,NC,584569,Parkway,Lands,George Washington
-8614017.0226,4662482.3495,10,2022/09/27 14:58:15+00,NPS_WASO_LANDS,2022/09/27 14:58:15+00,NPS_WASO_LANDS,b7f4f8e5-e1a0-4c64-906f-47f15259b511,122,PRWI,Prince William Forest Park,2022/09/12 13:42:37+00,VA,NC,1472799,Other Designation,Lands,Prince William Forest
16221921.0684,1713993.1228,11,2022/09/27 14:58:15+00,NPS_WASO_LANDS,2022/09/27 14:58:15+00,NPS_WASO_LANDS,6ba37126-d9fc-4e90-82aa-96142cec64d7,,AMME,American Memorial Park,2015/04/22 00:00:00+00,MP,PW,1879026,Park,Lands,
-8532565.9474,4496726.9465,12,2022/09/27 14:58:15+00,NPS_WASO_LANDS,2022/09/27 14:58:15+00,NPS_WASO_LANDS,44f37b44-eb1e-4963-b528-bb97068f2ef9,,CAJO,Captain John Smith Chesapeake National Historic Trail,2017/11/17 00:00:00+00,MD,NE,1879026,National Historic Trail,Lands,
-7909848.4708,5217059.1725,13,2022/09/27 14:58:15+00,NPS_WASO_LANDS,2022/09/27 14:58:15+00,NPS_WASO_LANDS,a5cd8637-d6b3-456c-9d46-f736a08afa1b,1,BOST,Boston National Historical Park,2015/02/09 00:00:00+00,MA,NE,600140,National Historical Park,Lands,Boston
-8205822.8507,5216309.9812,14,2022/09/27 14:58:15+00,NPS_WASO_LANDS,2022/09/27 14:58:15+00,NPS_WASO_LANDS,32746646-89f3-4e11-bbb1-15b8655225e1,2,MAVA,Martin Van Buren National Historic Site,2012/07/18 00:00:00+00,NY,NE,1888943,National Historic Site,Lands,Martin Van Buren
-8079686.6608,5177226.1732,15,2022/09/27 14:58:15+00,NPS_WASO_LANDS,2022/09/27 14:58:15+00,NPS_WASO_LANDS,5c824d96-be9b-4e88-8d64-097e2ea198cc,3,SPAR,Springfield Armory National Historic Site,2011/10/18 00:00:00+00,MA,NE,1888963,National Historic Site,Lands,Springfield Armory
-7597050.3779,5517888.4079,16,2022/09/27 14:58:15+00,NPS_WASO_LANDS,2022/09/27 14:58:15+00,NPS_WASO_LANDS,97dd2b4a-ee62-4324-909b-a7dae5f98447,4,ACAD,Acadia National Park,2013/12/18 00:00:00+00,ME,NE,578853,National Park,Park,Acadia
-7473278.3492,5641806.6864,17,2022/09/27 14:58:15+00,NPS_WASO_LANDS,2022/09/27 14:58:15+00,NPS_WASO_LANDS,ee120f89-5776-4b4a-abd8-c0c3f0c55beb,5,SACR,Saint Croix Island International Historic Site,2016/06/20 00:00:00+00,ME,NE,581971,International Historic Site,Lands,Saint Croix Island
-7904999.4732,5199485.239,18,2022/09/27 14:58:15+00,NPS_WASO_LANDS,2022/09/27 14:58:15+00,NPS_WASO_LANDS,cdb33c8c-1c4a-42f3-ba69-556977b6cc72,6,ADAM,Adams National Historical Park,2009/06/05 00:00:00+00,MA,NE,1888899,National Historical Park,Lands,Adams
-7917401.8428,5213092.3684,19,2022/09/27 14:58:15+00,NPS_WASO_LANDS,2022/09/27 14:58:15+00,NPS_WASO_LANDS,12335cb6-400c-45c0-8924-7d54102c1204,7,JOFI,John Fitzgerald Kennedy National Historic Site,2010/10/28 00:00:00+00,MA,NE,607138,National Historic Site,Lands,John F Kennedy
-7937071.5828,5229368.2461,20,2022/09/27 14:58:15+00,NPS_WASO_LANDS,2022/09/27 14:58:15+00,NPS_WASO_LANDS,0286e6eb-7575-42e4-8cac-0c432feeabb7,8,MIMA,Minute Man National Historical Park,2018/02/22 00:00:00+00,MA,NE,600051,National Historical Park,Lands,Minute Man
-7890955.5098,5239068.4681,21,2022/09/27 14:58:15+00,NPS_WASO_LANDS,2022/09/27 14:58:15+00,NPS_WASO_LANDS,43dfddeb-8a35-4591-819f-bc4caffb2eac,9,SAMA,Salem Maritime National Historic Site,2010/03/25 00:00:00+00,MA,NE,1888961,National Historic Site,Lands,Salem Maritime
-7904547.668,5231420.0875,22,2022/09/27 14:58:15+00,NPS_WASO_LANDS,2022/09/27 14:58:15+00,NPS_WASO_LANDS,c94926ef-7810-4935-8238-890a913b2fe7,10,SAIR,Saugus Iron Works National Historic Site,2014/06/09 00:00:00+00,MA,NE,600017,National Historic Site,Lands,Saugus Iron Works
